accounts-qml-module 0.7-2
accountsservice 0.6.55-1
acl 2.2.53-2
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.36.0-1
alsa-lib 1.2.2-1
alsa-plugins 1.2.2-1
alsa-topology-conf 1.2.2-2
alsa-ucm-conf 1.2.2-1
anaconda 2019.10-1
ant 1.10.7-1
aom 1.0.0.errata1+avif-1
apache-spark 2.4.4-1
apm 2.4.5-1
apparmor 2.13.3-4
appstream 0.12.10-2
appstream-qt 0.12.10-2
archlinux-appstream-data 20200103-1
archlinux-keyring 20200108-1
argon2 20190702-2
aspell 0.60.8-1
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.34.1-1
attica 5.67.0-1
attr 2.4.48-2
audit 2.8.5-6
autoconf 2.69-7
automake 1.16.1-2
avahi 0.8+15+ge8a3dd0-1
baloo 5.67.0-2
baloo-widgets 19.12.3-1
base 2-2
bash 5.0.016-1
binutils 2.34-1
bison 3.5.2-1
bluedevil 1:5.18.3-1
bluez 5.53-1
bluez-libs 5.53-1
bluez-qt 5.67.0-1
bolt 0.8-3
boost-libs 1.72.0-1
breeze 5.18.3-1
breeze-gtk 5.18.3-1
breeze-icons 5.67.0-1
brotli 1.0.7-3
btrfs-progs 5.4-1
bubblewrap 0.4.0-1
bumblebee 3.2.1-20
bzip2 1.0.8-3
c-ares 1.15.0-1
ca-certificates 20181109-3
ca-certificates-mozilla 3.51-1
ca-certificates-utils 20181109-3
cairo 1.17.2+17+g52a7c79fd-2
cantarell-fonts 1:0.201-1
cdparanoia 10.2-7
chromium 80.0.3987.132-2
cifs-utils 6.10-1
clucene 2.3.3.4-10
code 1.42.1-1
colord 1.4.4+9+g1ce26da-1
confuse 3.2.2-1
convertlit 1.8-8
coreutils 8.31-3
cracklib 2.9.7-2
cryptsetup 2.3.1-1
cuda 10.2.89-3
curl 7.69.1-1
dav1d 0.5.2-1
db 5.3.28-5
dbus 1.12.16-5
dbus-glib 0.110-1
dconf 0.34.0-1
desktop-file-utils 0.24-2
device-mapper 2.02.186-5
dhcpcd 8.1.6-1
diffutils 3.7-3
discord 0.0.10-2
discount 2.2.6-1
discover 5.18.3-1
dkms 2.8.1-1
dmraid 1.0.0.rc16.3-12
dnssec-anchors 20190629-2
dolphin 19.12.3-1
dosfstools 4.1-3
double-conversion 3.1.5-1
drkonqi 5.18.3-1
e2fsprogs 1.45.5-1
ebook-tools 0.2.2-6
editorconfig-core-c 0.12.3-1
efibootmgr 16-2
efivar 37-3
egl-wayland 1.1.4-2
eglexternalplatform 1.1-1
electron4 4.2.12-3
electron6 6.1.9-2
enchant 2.2.7-1
exiv2 0.27.2-1
expat 2.2.9-3
fakeroot 1.24-2
feh 3.3-2
ffmpeg 1:4.2.2-3
file 5.38-3
filesystem 2019.10-2
findutils 4.7.0-2
firefox 74.0-2
flac 1.3.3-1
flex 2.6.4-3
fontconfig 2:2.13.91+24+g75eadca-2
frameworkintegration 5.67.0-1
freeglut 3.2.1-1
freetype2 2.10.1-2
fribidi 1.0.9-1
gawk 5.0.1-2
gc 8.0.4-3
gcc 9.2.1+20200130-2
gcc-libs 9.2.1+20200130-2
gcc8 8.3.0-4
gcc8-libs 8.3.0-4
gdb 9.1-1
gdb-common 9.1-1
gdbm 1.18.1-3
